Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testComponentGettingExceptions,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.ComponentBuilder.append; net.md_5.bungee.api.chat.ComponentBuilder.getComponent
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testComponentParting,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testComponentParting,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.ComponentBuilder.removeComponent; net.md_5.bungee.api.chat.ComponentBuilder.getCurrentComponent; net.md_5.bungee.api.chat.ComponentBuilder.append; net.md_5.bungee.api.chat.ComponentBuilder.getComponent
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testModernShowAdvancement,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testBasicComponent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testBasicComponent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.BaseComponent.toPlainText; net.md_5.bungee.api.chat.BaseComponent.toLegacyText; net.md_5.bungee.api.chat.BaseComponent.setColor
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testRepeated,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testStyleIsEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,ComponentsTest,testStyleIsEmpty,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.ComponentStyle.builder; net.md_5.bungee.api.chat.ComponentStyle.isEmpty; net.md_5.bungee.api.chat.ComponentStyleBuilder.build; net.md_5.bungee.api.chat.ComponentStyleBuilder.bold
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testMissingPlaceholdersAdded,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testMissingPlaceholdersAdded,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.BaseComponent.toPlainText; net.md_5.bungee.api.chat.BaseComponent.toLegacyText
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testJsonSerialisation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testTranslateComponent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
BungeeCord1,net.md_5.bungee.api.chat,TranslatableComponentTest,testTranslateComponent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.chat.BaseComponent.toPlainText; net.md_5.bungee.api.chat.BaseComponent.toLegacyText; net.md_5.bungee.api.chat.BaseComponent.setColor
BungeeCord1,net.md_5.bungee.config,DefaultConfigurationTest,testDefaultValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
BungeeCord1,net.md_5.bungee.config,DefaultConfigurationTest,testDefaultValues,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.config.Configuration.set; net.md_5.bungee.config.Configuration.getInt
BungeeCord1,net.md_5.bungee.event,UnregisteringListenerTest,testPriority,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.protocol,TagUtilTest,testStringLiteral,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BungeeCord1,net.md_5.bungee.protocol.packet,PluginMessageTest,testModerniseChannel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
BungeeCord1,net.md_5.bungee.scheduler,SchedulerTest,testCancel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
BungeeCord1,net.md_5.bungee.scheduler,SchedulerTest,testCancel,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.md_5.bungee.api.scheduler.ScheduledTask.getId; net.md_5.bungee.api.scheduler.ScheduledTask.getOwner; net.md_5.bungee.api.scheduler.TaskScheduler.cancel
BungeeCord1,net.md_5.bungee.scheduler,SchedulerTest,testScheduleAndRepeat,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
